title_id,genre_id,order
tt13242414,4,2
tt13242414,16,3
tt1325085,4,1
tt13259260,28,1
tt13267632,12,1
tt13267632,2,2
tt13276098,25,1
tt13284448,27,1
tt13292780,4,1
tt13301088,25,1
tt13309590,16,1
tt13318214,8,1
tt13318214,25,2
tt13326750,5,1
tt13335292,8,1
tt13335292,2,2
tt13343812,4,1
tt13343812,25,2
tt13352198,4,1
tt13360612,4,1
tt13360612,12,2
tt13360612,25,3
tt13369152,4,1
tt13377372,4,1
tt13377372,12,2
tt13377372,25,3
tt13385602,16,1
tt13394012,25,1
tt13402032,27,1
tt1341020,8,1
tt1341020,5,2
tt13418454,4,1
tt13418454,12,2
tt13418454,25,3
tt1342648,4,1
tt1342648,8,2
tt1342648,16,3
tt13434798,1,1
tt13442826,7,1
tt13442826,25,2
tt13450958,28,1
tt13459238,7,1
tt13467404,7,1
tt13467404,25,2
tt13475378,3,1
tt13475378,4,2
tt13475378,9,3
tt13483880,12,1
tt13492608,25,1
tt1350079,3,1
tt1350079,4,2
tt1350079,16,3
tt13509266,2,1
tt13517566,7,1
tt13525640,7,1
tt13525640,25,2
tt13533764,4,1
tt13533764,7,2
tt1354204,4,1
tt1354204,8,2
tt1354204,16,3
tt1355017,7,1
tt1355017,25,2
tt13566578,6,1
tt13566578,25,2
tt13574646,2,1
tt13582822,7,1
tt13582822,6,2
tt13599164,3,1
tt13599164,4,2
tt1360725,1,1
tt13615494,25,1
tt1362370,8,1
tt1362370,2,2
tt13631866,4,1
tt13631866,12,2
